,,,,,,,,,
Ángulo del crista,Intensidad Imp/s ,,,,,,,,
theta/°,Tasa con 13kV,Tasa con 15kV,Tasa con 17kV,Tasa con 19kV,Tasa con 21kV,Tasa con 23kV,Tasa con 25kV,Tasa con 27kV,Tasa con 29kV
3,459,1068,1875,2955,4083,5858,7244,8518,8926
3.1,402,964,1652,2560,3635,4987,6484,7681,8687
3.2,366,827,1513,2300,3320,4397,5976,7008,8097
3.3,362,772,1418,2174,3034,4086,5392,6645,7628
3.4,317,706,1304,2063,2917,3823,4931,6290,7290
3.5,301,702,1213,1920,2640,3514,4691,5943,6908
3.6,288,625,1152,1753,2485,3332,4172,5393,6512
3.7,274,583,1049,1614,2381,3055,3811,4883,6022
3.8,251,550,965,1493,2093,2826,3510,4336,5499
3.9,228,530,897,1426,1983,2574,3214,3913,4788
4,191,440,810,1200,1743,2314,2870,3529,4262
4.1,195,422,738,1123,1641,2039,2620,3186,3875
4.2,188,401,674,997,1428,1900,2374,2864,3423
4.3,164,379,615,917,1291,1680,2101,2630,3108
4.4,161,322,573,849,1170,1545,1883,2282,2779
4.5,144,306,519,770,1054,1356,1771,2042,2423
4.6,129,299,474,711,955,1291,1568,1836,2187
4.7,124,264,466,650,880,1110,1408,1757,2056
4.8,119,249,425,602,791,1042,1271,1554,1799
4.9,132,235,394,580,777,993,1227,1468,1710
5,120,242,389,542,766,910,1165,1424,1598
5.1,132,220,396,516,725,917,1116,1315,1519
5.2,103,233,362,510,699,910,1063,1268,1498
5.3,112,223,328,507,678,867,1083,1250,1446
5.4,115,223,348,490,669,876,1023,1287,1466
5.5,115,222,358,494,686,845,1042,1243,1403
5.6,110,229,358,505,663,857,1042,1255,1428
5.7,127,202,367,505,704,869,1005,1217,1363
5.8,123,210,340,471,648,869,1002,1235,1406
5.9,105,226,350,512,688,835,1025,1174,1398
6,110,208,338,469,686,832,1067,1233,1373
6.1,113,209,342,480,639,857,1019,1224,1431
6.2,114,229,359,496,646,837,979,1223,1389
6.3,97,236,350,509,661,838,1020,1179,1418
6.4,107,206,329,528,663,857,1028,1188,1373
6.5,107,203,340,501,682,850,1030,1184,1367
6.6,108,202,340,497,680,823,1004,1191,1407
6.7,110,211,339,532,670,812,1042,1224,1351
6.8,117,216,358,497,661,888,1034,1206,1365
6.9,104,213,358,504,662,832,1028,1184,1395
7,126,211,359,519,705,826,1020,1228,1394
7.1,122,206,371,528,674,849,1047,1189,1333
7.2,116,224,352,507,660,836,1054,1210,1410
7.3,118,211,360,543,712,875,1050,1239,1399
7.4,107,226,366,521,655,873,1050,1265,1404
7.5,115,217,368,547,679,899,1052,1245,1420
7.6,117,214,361,517,673,915,1048,1227,1356
7.7,127,237,0,516,719,872,1059,1250,1417
7.8,109,211,367,527,709,822,1074,1232,1421
7.9,115,225,383,569,686,898,1037,1219,1468
8,109,234,382,545,707,862,1042,1241,1403
8.1,119,223,393,534,694,859,1063,1233,1410
8.2,119,214,371,539,704,859,1019,1229,1447
8.3,120,234,379,528,700,876,1051,1249,1451
8.4,117,221,381,564,694,849,1089,1276,1456
8.5,114,240,420,551,705,869,1065,1258,1393
8.6,122,221,376,551,714,900,1017,1222,1413
8.7,117,247,400,534,699,895,1078,1248,1448
8.8,131,244,391,543,693,887,1055,1241,1397
8.9,122,239,376,549,689,875,1043,1252,1420
9,121,228,362,549,708,858,1034,1236,1430
9.1,131,247,388,538,682,862,1043,1237,1435
9.2,123,239,388,546,717,874,1036,1205,1376
9.3,107,244,384,498,690,861,1052,1222,1432
9.4,114,243,368,554,702,843,1022,1247,1413
9.5,117,253,382,559,674,862,1033,1184,1374
9.6,113,234,389,520,682,841,1013,1183,1329
9.7,128,228,365,524,662,821,1026,1180,1340
9.8,108,215,381,517,650,857,970,1151,1347
9.9,120,234,386,488,648,839,957,1162,1343
10,98,223,350,546,633,809,987,1133,1338
10.1,125,235,354,498,660,812,1009,1152,1320
10.2,114,233,379,514,654,795,992,1086,1335
10.3,99,217,342,494,614,782,983,1117,1263
10.4,93,229,351,465,655,789,922,1100,1247
10.5,94,209,343,493,602,758,918,1075,1247
10.6,104,202,340,475,600,764,906,1074,1248
10.7,109,216,333,455,615,765,876,1029,1198
10.8,107,219,301,458,561,733,847,1032,1192
10.9,93,197,290,430,567,730,849,1023,1139
11,102,184,295,429,557,671,802,972,1104
11.1,91,199,291,415,522,645,778,902,1079
11.2,94,170,298,395,526,666,780,923,1048
11.3,84,171,273,358,499,655,760,922,1044
11.4,87,167,263,373,470,631,736,868,1020
11.5,81,152,277,375,492,591,728,848,969
11.6,98,157,242,358,457,570,666,796,959
11.7,91,159,239,345,436,522,692,789,911
11.8,83,155,235,338,425,541,641,764,919
11.9,76,158,240,330,405,522,635,743,892
12,72,145,239,316,415,497,624,743,845
12.1,80,137,211,280,377,484,606,682,819
12.2,83,138,218,308,370,498,589,661,773
12.3,65,141,195,274,374,453,562,691,782
12.4,75,141,215,276,356,473,565,668,754
12.5,62,130,208,261,351,431,514,636,750
12.6,69,125,184,270,345,411,515,627,766
12.7,71,122,172,242,312,430,477,590,656
12.8,80,116,185,250,327,396,501,600,695
12.9,64,122,175,244,313,385,495,595,657
13,63,109,172,227,306,393,457,599,650
13.1,71,125,172,223,266,381,419,548,663
13.2,69,110,166,221,278,370,434,552,612
13.3,51,94,184,230,287,374,462,528,587
13.4,71,106,162,221,265,354,426,510,576
13.5,63,102,173,238,280,358,391,494,580
13.6,65,101,159,205,273,327,434,507,568
13.7,62,93,153,209,251,362,427,486,597
13.8,53,102,153,207,264,357,417,479,538
13.9,50,98,144,195,257,325,423,477,567
14,70,92,154,216,278,337,398,481,568
14.1,51,103,148,192,245,322,400,463,583
14.2,63,101,132,166,267,315,411,463,545
14.3,47,98,141,198,246,298,397,466,563
14.4,59,101,139,194,256,315,391,478,552
14.5,62,113,139,196,268,300,411,440,541
14.6,63,105,147,217,256,314,375,459,525
14.7,67,109,140,203,263,335,403,441,546
14.8,71,102,150,202,259,311,400,469,544
14.9,53,92,131,187,272,304,381,470,567
15,52,106,142,183,249,304,382,456,523
15.1,60,96,137,187,239,304,397,458,530
15.2,60,101,133,200,252,318,392,433,553
15.3,68,88,149,182,250,328,376,459,553
15.4,46,106,133,206,248,302,397,450,530
15.5,60,108,148,193,263,318,404,452,528
15.6,57,105,117,204,259,312,410,460,552
15.7,57,92,133,193,264,337,404,463,513
15.8,59,103,147,214,271,333,406,462,562
15.9,69,96,157,225,284,356,424,505,600
16,79,134,187,270,357,438,533,625,734
16.1,169,295,465,635,841,1046,1236,1444,1646
16.2,245,441,695,987,1296,1589,1882,2232,2593
16.3,220,391,645,882,1160,1439,1699,2019,2348
16.4,168,309,447,677,823,1091,1293,1530,1750
16.5,94,195,302,408,545,709,867,1022,1216
16.6,78,110,186,242,324,410,531,594,710
16.7,65,108,175,238,277,371,476,529,647
16.8,65,110,163,225,307,380,452,552,655
16.9,63,105,156,210,274,337,438,542,605
17,66,105,139,211,284,351,426,507,604
17.1,62,97,153,208,289,343,421,506,597
17.2,57,104,146,202,276,325,444,503,597
17.3,53,107,155,227,269,354,449,500,567
17.4,59,88,156,235,288,348,426,507,594
17.5,62,107,154,206,284,352,391,513,587
17.6,69,109,154,218,292,356,439,496,600
17.7,60,94,151,222,293,377,447,484,624
